No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Architecture,Keep controllers thin,Controllers should translate HTTP to service calls and avoid business rules,Call service and return DTO/view,Put orchestration and domain logic in controllers,return this.crmContactService.getContacts(query),controller computes revenue and caching,High,https://docs.nestjs.com/controllers
2,Architecture,Put orchestration in services,Services should coordinate repositories hooks cache and policies,Use service methods for flows,Split one business flow across controller and repository,service.createContact(dto),controller writes entity directly,High,https://docs.nestjs.com/providers
3,Architecture,Use module boundaries,Feature code should stay inside src/modules/<name>,Keep controller service dto repository hooks together,Import another module internals directly,src/modules/crm/*,src/modules/crm imports src/modules/helpdesk private file,High,
4,Architecture,Prefer hooks or events for extension,Cross-module behavior should use hook or event points when possible,Emit hook for extension points,Directly call another module service for side effects,hookService.emit('customer.beforeCreate' payload),crm service imports unrelated module service,Medium,
5,Architecture,Use repositories for persistence,Repositories should own query logic and persistence concerns,Keep TypeORM/query code in repository,Scatter query builder logic across services,repository.findAll(normalizedQuery),service creates query builder inline,High,
6,Architecture,Keep business behavior near models,Domain calculations should live close to entities or model helpers,Add domain methods or mappers where useful,Turn services into giant procedural scripts,customer.calculateRevenue(),service has 200-line calculation block,Medium,
7,Routing,Use Nest controllers for routes,HTTP endpoints should be declared through decorators and modules,Use @Controller @Get @Post,Manually wire HTTP handlers outside Nest,@Controller('crm/contacts'),app.get('/crm/contacts' ...),High,https://docs.nestjs.com/controllers
8,Routing,Version API routes consistently,Use the repo route conventions for API endpoints,Keep /api/v1 style consistent,Mix multiple versioning styles arbitrarily,@Controller('api/v1/crm/contacts'),@Controller('crm'),Medium,
9,Validation,Use DTO validation,Public inputs should be validated with DTO classes and pipes,Use class-validator DTOs,Trust request bodies directly,create(dto: CreateContactDto),create(body: any),High,https://docs.nestjs.com/techniques/validation
10,Validation,Normalize list queries before use,List endpoints should normalize page limit filters before querying or caching,Normalize via policy/service helper,Hash raw unnormalized query objects,policy.normalizeListQuery(query),JSON.stringify(req.query) directly for cache key,High,
